AgentID,Wealth,Talent,luckyEvents,unluckyEvents,startingCapital
132,155.37032722311616,0.47334900951449954,2.0,6.0,2485.9252355698586
133,124.4984630734006,0.8549660386796292,2.0,6.0,1991.9754091744096
134,601.4328459862353,0.6977824478471572,3.0,5.0,2405.731383944941
135,2962.0933902409106,0.6962384065068195,2.0,1.0,1481.0466951204553
136,4849.077690002041,0.5403339005241017,3.0,2.0,2424.5388450010205
137,2515.4162267992115,0.5003165221501181,3.0,3.0,2515.4162267992115
138,1167.2373630572183,0.6676980780531085,4.0,5.0,2334.4747261144366
139,58119.645098365,0.7032779893595391,7.0,2.0,1816.2389093239062
140,1456.3004985153702,0.6004035283073995,3.0,3.0,1456.3004985153702
141,52.172856645560074,0.5458613001774942,1.0,4.0,417.3828531644806
142,4.367656010274584,0.7478148420606815,1.0,9.0,1118.1199386302935
143,11260.436042215832,0.8119938756033489,6.0,4.0,2815.109010553958
144,7438.845463324251,0.6698881777654149,4.0,2.0,1859.7113658310627
145,3494.793496297172,0.4321113942630341,4.0,3.0,1747.396748148586
146,272.6751769972982,0.5088143452371955,1.0,4.0,2181.4014159783856
147,483.8546668960758,0.573698543032447,2.0,4.0,1935.4186675843032
148,189.144001625132,0.4950299409442782,1.0,4.0,1513.152013001056
149,711.5859494592048,0.7063091623009761,6.0,7.0,1423.1718989184096
150,111.00656390858518,0.650934208200418,2.0,6.0,1776.1050225373629
151,983704.6740172504,0.718781867003919,10.0,1.0,1921.2981914399422
152,557.5655678387917,0.5825792929796972,5.0,6.0,1115.1311356775834
153,117.38128281078883,0.45936366815668184,1.0,5.0,1878.1005249726213
154,90.99607884810392,0.6619689627978598,2.0,6.0,1455.9372615696627
155,515.8387022816466,0.6705266928636363,0.0,2.0,2063.3548091265866
156,7363.869426584677,0.42129127967293967,2.0,0.0,1840.9673566461693
157,88.41482903237463,0.8318254053225886,3.0,8.0,2829.274529035988
158,26265.027995617704,0.690353989351367,5.0,2.0,3283.128499452213
159,1781.9016635965872,0.5653359682510959,3.0,3.0,1781.9016635965872
160,1643.0187529805708,0.8149423996925842,6.0,6.0,1643.0187529805708
161,577.1856071504747,0.40781083627890813,2.0,4.0,2308.7424286018986
162,620.8369916075101,0.4599378131863703,1.0,3.0,2483.3479664300403
163,2109.4360938361547,0.5402082859111547,2.0,2.0,2109.4360938361547
164,7242.79537444916,0.6338154722722009,2.0,0.0,1810.69884361229
165,468.5905559005121,0.6688022493150265,3.0,5.0,1874.3622236020483
166,396.43313454278564,0.6561788423899956,3.0,5.0,1585.7325381711426
167,119.6322782078349,0.4411148734039046,1.0,5.0,1914.1164513253584
168,523.98347206663,0.650452539195195,1.0,3.0,2095.93388826652
169,1915.9391377748034,0.6667253268001476,4.0,4.0,1915.9391377748034
170,1742.875370769821,0.8344647875900001,7.0,7.0,1742.875370769821
171,954.3169826808103,0.5151418697049159,2.0,3.0,1908.6339653616205
172,1855.3818038979934,0.6844195693787347,3.0,3.0,1855.3818038979934
173,1121.2256699619688,0.46023784572056864,3.0,4.0,2242.4513399239377
174,77.77133521091292,0.5429445739642285,1.0,6.0,2488.6827267492135
175,29.201180762871566,0.6045219061971001,1.0,7.0,1868.8755688237802
176,128.76224257374938,0.7225397383723815,1.0,5.0,2060.19588117999
177,475.78263085001544,0.8173492223177387,3.0,5.0,1903.1305234000617
178,74.50666688768978,0.5160449017674498,0.0,5.0,2384.213340406073
179,1369.764344348043,0.5573864404817099,2.0,3.0,2739.528688696086
180,21.023130544845376,0.6840693415501014,1.0,8.0,2690.960709740208
181,447.0104014180843,0.7101318535685937,1.0,3.0,1788.0416056723373
182,2582.001843301305,0.5314542649437816,4.0,4.0,2582.001843301305
183,641.8059007536964,0.6782916510981175,2.0,4.0,2567.2236030147856
184,51.19165997299373,0.6508689761760815,2.0,7.0,1638.1331191357995
185,323.91292710897625,0.6483520387071569,3.0,5.0,1295.651708435905
186,4706.097597928526,0.7484997349033607,4.0,2.0,1176.5243994821315
187,137.56667971823396,0.60679881582795,3.0,7.0,2201.0668754917433
188,489.5840982651007,0.7067838063793905,2.0,4.0,1958.3363930604028
189,495.42539402554127,0.5750369636259239,1.0,3.0,1981.701576102165
190,1034.7793211402761,0.8502780824892193,4.0,5.0,2069.5586422805522
191,74.1786296309935,0.6078867819866821,2.0,6.0,1186.858074095896
192,31.179555260875183,0.594378614634259,2.0,8.0,1995.4915366960117
193,515.0555907169704,0.5528001655271494,2.0,4.0,2060.2223628678817
194,167.14362562582494,0.5696570169648267,6.0,9.0,1337.1490050065995
195,112.77138662638384,0.5651954646774221,0.0,4.0,1804.3421860221415
196,186.0470724555731,0.5777258786751769,1.0,5.0,2976.7531592891696
197,528.239280515143,0.5540804130795505,2.0,4.0,2112.957122060572
198,171.28340791170535,0.6872124742243159,3.0,5.0,685.1336316468214
199,5544.347720494071,0.5945555798781106,4.0,3.0,2772.1738602470355
200,410.6001460963509,0.4565553950971576,3.0,5.0,1642.4005843854036
